host_id,host_active_years,host_listings_count,host_response_rate_clean,host_acceptance_rate_clean,cluster
972051,13.0,2,1.0,0.94,0.0
1113009,13.0,1,1.0,1.0,0.0
1725382,13.0,1,,1.0,
1730137,13.0,1,1.0,0.5,0.0
1730592,13.0,1,1.0,,0.0
1739866,13.0,3,1.0,0.9,0.0
1738418,13.0,1,1.0,0.99,0.0
1744083,13.0,1,1.0,1.0,0.0
1744480,13.0,1,1.0,0.59,0.0
1746036,13.0,1,1.0,0.75,0.0
1746701,13.0,3,0.67,0.5,0.0
213820,14.0,1,1.0,1.0,0.0
1113807,13.0,1,1.0,1.0,0.0
355895,14.0,1,,,
420656,14.0,1,1.0,0.0,0.0
333548,14.0,1,,,
433758,14.0,2,1.0,0.5,0.0
228508,14.0,1,1.0,0.94,0.0
439130,14.0,1,1.0,0.73,0.0
429406,14.0,1,1.0,0.64,0.0
464019,14.0,1,1.0,0.7,0.0
1117732,13.0,1,1.0,,0.0
579988,14.0,1,,0.5,
1140685,13.0,2,1.0,0.97,0.0
1150777,13.0,1,1.0,0.29,0.0
1150845,13.0,1,1.0,1.0,0.0
69564,15.0,3,1.0,0.0,0.0
1176386,13.0,1,1.0,1.0,0.0
296615,14.0,1,1.0,1.0,0.0
438828,14.0,3,1.0,0.93,0.0
500672,14.0,2,1.0,0.97,0.0
276063,14.0,3,1.0,0.96,0.0
505518,14.0,1,,0.0,
426504,14.0,1,,1.0,
97702,15.0,1,1.0,0.33,0.0
1761624,13.0,1,,,
1767140,13.0,1,1.0,1.0,0.0
1769987,13.0,1,1.0,1.0,0.0
1770312,13.0,1,1.0,0.84,0.0
1786447,13.0,1,,1.0,
1420560,13.0,1,1.0,0.98,0.0
1797165,13.0,1,,,
438828,14.0,3,1.0,0.93,0.0
1856451,13.0,1,,,
1181306,13.0,2,,,
1186733,13.0,1,,,
1188610,13.0,1,0.8,0.73,0.0
1196794,13.0,3,1.0,0.91,0.0
1175281,13.0,1,1.0,1.0,0.0
1172903,13.0,1,1.0,0.44,0.0
1870265,13.0,3,1.0,0.99,0.0
1872631,13.0,1,,0.33,
1876396,13.0,3,1.0,0.9,0.0
1902818,13.0,1,1.0,0.88,0.0
1697461,13.0,1,1.0,1.0,0.0
1955579,13.0,3,1.0,1.0,0.0
1956466,13.0,2,1.0,0.75,0.0
2353259,13.0,1,,1.0,
448405235,3.0,101,,,
1976948,13.0,1,,,
1955579,13.0,3,1.0,1.0,0.0
1446512,13.0,1,1.0,0.84,0.0
1995350,13.0,1,,1.0,
2004396,13.0,1,,,
2005968,13.0,1,,,
2008576,13.0,1,,,
2019390,13.0,1,1.0,0.8,0.0
2026539,13.0,1,1.0,0.33,0.0
1202318,13.0,1,0.0,0.0,3.0
89494,15.0,1,1.0,0.67,0.0
1215154,13.0,2,0.9,0.8,0.0
1220078,13.0,2,1.0,0.93,0.0
1260856,13.0,1,1.0,1.0,0.0
3342097,12.0,1,,,
2026938,13.0,1,1.0,0.94,0.0
971617,13.0,1,1.0,0.67,0.0
2029540,13.0,1,,,
2030520,13.0,1,1.0,0.9,0.0
2036495,13.0,1,,1.0,
2052689,13.0,1,1.0,1.0,0.0
2052794,13.0,1,1.0,0.0,0.0
2055732,13.0,1,,,
2058013,13.0,1,0.17,0.0,3.0
2033172,13.0,1,0.75,0.5,0.0
1276616,13.0,1,,1.0,
2354584,13.0,2,1.0,0.74,0.0
2361749,13.0,1,1.0,0.93,0.0
2362921,13.0,2,1.0,0.87,0.0
2367525,13.0,1,1.0,0.92,0.0
2369723,13.0,1,0.75,0.38,0.0
2376168,13.0,1,1.0,1.0,0.0
2376419,13.0,1,,,
2377349,13.0,1,1.0,1.0,0.0
2396369,13.0,1,,,
1280100,13.0,1,,,
1298369,13.0,1,1.0,0.0,0.0
1298530,13.0,1,1.0,0.44,0.0
1303882,13.0,1,,,
2077966,13.0,2,1.0,0.75,0.0
2083669,13.0,1,1.0,1.0,0.0
2087462,13.0,3,0.9,0.99,0.0
2087611,13.0,1,,,
2087649,13.0,1,1.0,0.94,0.0
2087682,13.0,1,1.0,0.5,0.0
2092156,13.0,1,1.0,0.65,0.0
2092804,13.0,2,1.0,0.73,0.0
934238,13.0,1,,0.0,
1322340,13.0,1,,,
624794,14.0,1,,,
1164453,13.0,2,1.0,1.0,0.0
1119954,13.0,1,,,
1345719,13.0,1,,,
2403689,13.0,2,1.0,0.44,0.0
2406155,13.0,1,1.0,,0.0
2406154,13.0,1,1.0,0.74,0.0
2408130,13.0,1,1.0,1.0,0.0
2419705,13.0,1,,1.0,
2420606,13.0,1,1.0,1.0,0.0
2421204,13.0,1,1.0,0.4,0.0
1903323,13.0,1,,,
1617094,13.0,1,1.0,1.0,0.0
2457456,13.0,1,1.0,0.88,0.0
2457817,13.0,1,1.0,0.8,0.0
1032884,13.0,1,,,
2093628,13.0,1,,0.5,
2094629,13.0,1,1.0,1.0,0.0
2100127,13.0,1,1.0,0.0,0.0
2101219,13.0,1,1.0,0.67,0.0
2106953,13.0,1,0.71,0.37,0.0
2111586,13.0,1,,,
2032568,13.0,1,,,
2124344,13.0,1,1.0,1.0,0.0
1363515,13.0,1,1.0,0.33,0.0
1353874,13.0,1,1.0,0.97,0.0
2460730,13.0,1,,0.0,
2324710,13.0,1,1.0,0.79,0.0
2481219,13.0,1,1.0,1.0,0.0
2482371,13.0,1,1.0,1.0,0.0
2483261,13.0,1,,1.0,
2483760,13.0,1,,,
2492564,13.0,1,1.0,0.79,0.0
2493604,13.0,1,1.0,0.67,0.0
2491914,13.0,1,1.0,0.91,0.0
2124759,13.0,1,,1.0,
1281575,13.0,1,,1.0,
2133227,13.0,1,1.0,0.79,0.0
2134754,13.0,1,,1.0,
2159676,13.0,1,1.0,1.0,0.0
1749250,13.0,1,1.0,0.6,0.0
2168445,13.0,2,1.0,0.99,0.0
2188618,13.0,1,,1.0,
1395914,13.0,1,1.0,0.88,0.0
1414111,13.0,1,1.0,0.85,0.0
1414202,13.0,1,,,
1435861,13.0,1,1.0,0.67,0.0
1447154,13.0,1,1.0,0.43,0.0
2510200,13.0,1,1.0,1.0,0.0
2511147,13.0,1,1.0,0.0,0.0
2514640,13.0,2,1.0,0.93,0.0
2514214,13.0,2,1.0,0.69,0.0
2516800,13.0,1,,,
2431177,13.0,1,,,
2593614,13.0,1,1.0,0.77,0.0
2528877,13.0,1,,1.0,
2092804,13.0,2,1.0,0.73,0.0
1454675,13.0,1,1.0,0.17,0.0
1466666,13.0,1,,,
1473540,13.0,1,,0.67,
2191103,13.0,1,1.0,0.33,0.0
2206425,13.0,1,1.0,1.0,0.0
2220797,13.0,1,1.0,0.33,0.0
744883,13.0,1,1.0,0.65,0.0
2242715,13.0,1,1.0,0.4,0.0
547926,14.0,1,1.0,0.93,0.0
2250693,13.0,1,,,
2254627,13.0,1,,,
2262663,13.0,1,,,
1024340,13.0,1,,1.0,
152242,14.0,75,0.99,0.42,0.0
1484225,13.0,1,,,
2474755,13.0,1,1.0,1.0,0.0
2550681,13.0,1,1.0,0.52,0.0
2552594,13.0,1,1.0,1.0,0.0
2552891,13.0,1,,,
2553180,13.0,2,1.0,0.88,0.0
2562637,13.0,1,,,
2569842,13.0,2,,0.0,
2571099,13.0,1,1.0,0.33,0.0
1711544,13.0,2,1.0,0.67,0.0
2746545,12.0,1,1.0,1.0,0.0
2267454,13.0,2,,,
2280781,13.0,1,,0.67,
2281871,13.0,1,1.0,1.0,0.0
2287011,13.0,1,1.0,0.8,0.0
2280544,13.0,1,,,
2295636,13.0,1,1.0,0.74,0.0
2296567,13.0,1,,,
2297465,13.0,1,1.0,0.95,0.0
2298304,13.0,1,1.0,1.0,0.0
2296121,13.0,1,1.0,1.0,0.0
2571310,13.0,2,1.0,1.0,0.0
2573224,13.0,1,,,
873774,13.0,1,1.0,0.67,0.0
982391,13.0,2,1.0,1.0,0.0
2580047,13.0,1,,1.0,
2580483,13.0,1,1.0,0.96,0.0
2583968,13.0,1,1.0,0.83,0.0
2595078,13.0,1,1.0,1.0,0.0
2747520,12.0,1,,0.8,
2756491,12.0,1,1.0,1.0,0.0
2740241,12.0,2,0.29,0.0,3.0
2316378,13.0,1,1.0,0.84,0.0
2321891,13.0,1,,,
2325206,13.0,1,1.0,0.91,0.0
2195287,13.0,1,1.0,0.55,0.0
2330657,13.0,1,1.0,1.0,0.0
2332643,13.0,1,,,
2333548,13.0,1,1.0,1.0,0.0
1255551,13.0,3,1.0,1.0,0.0
2595265,13.0,1,,,
2597876,13.0,1,1.0,0.97,0.0
944297,13.0,1,,,
819051,13.0,1,0.86,0.21,0.0
2607103,13.0,1,1.0,,0.0
2616866,13.0,1,1.0,1.0,0.0
2621374,13.0,1,1.0,1.0,0.0
2625988,13.0,1,1.0,0.55,0.0
2107602,13.0,1,0.7,0.42,0.0
2735949,12.0,2,,,
2778468,12.0,2,1.0,1.0,0.0
2779670,12.0,1,,,
2330659,13.0,1,,,
1694065,13.0,4,1.0,0.23,0.0
3052820,12.0,1,1.0,1.0,0.0
1295230,13.0,1,,0.5,
3058901,12.0,5,1.0,0.97,0.0
3063521,12.0,1,,,
2247900,13.0,1,1.0,0.67,0.0
3066875,12.0,1,1.0,1.0,0.0
2764413,12.0,1,0.91,0.67,0.0
2526137,13.0,7,1.0,0.99,0.0
160116,14.0,1,,,
2635132,13.0,1,1.0,1.0,0.0
2635952,13.0,1,,0.36,
2638524,13.0,1,1.0,0.37,0.0
2249452,13.0,1,1.0,0.63,0.0
2643968,13.0,1,1.0,0.91,0.0
2646531,13.0,1,1.0,0.82,0.0
2786324,12.0,1,,,
2782865,12.0,1,0.63,0.92,0.0
3015724,12.0,1,,1.0,
2788330,12.0,1,1.0,1.0,0.0
2650223,13.0,1,,1.0,
2428645,13.0,1,1.0,0.94,0.0
2652399,13.0,1,1.0,1.0,0.0
2652596,13.0,1,0.5,0.0,3.0
2639311,13.0,1,,,
2654735,13.0,1,,0.41,
569876,14.0,1,1.0,1.0,0.0
2662206,13.0,1,1.0,0.94,0.0
2670749,13.0,1,1.0,0.92,0.0
3081460,12.0,1,,1.0,
3011711,12.0,1,1.0,0.71,0.0
3083635,12.0,1,1.0,0.7,0.0
3085410,12.0,1,1.0,0.65,0.0
3100853,12.0,1,,1.0,
3113582,12.0,1,,,
1739866,13.0,3,1.0,0.9,0.0
2789176,12.0,2,1.0,0.91,0.0
2664135,13.0,2,1.0,0.62,0.0
2926733,12.0,1,1.0,0.82,0.0
3066150,12.0,1,1.0,0.88,0.0
3149316,12.0,1,1.0,0.86,0.0
3151583,12.0,1,,,
3153680,12.0,1,,,
3158695,,1,,,
3161395,12.0,1,,,
